Fp1,Fp2,F7,F3,Fz,F4,F8,FC3,FCz,FC4,T7,C3,Cz,C4,T8,CP3,CPz,CP4,P7,P3,Pz,P4,P8,O1,Oz,O2,VPVA,VNVB,HPHL,HNHR,Erbs,OrbOcc,Mass
-1600.7925334729644,-14376.514836361532,398.59821921900686,2769.106312801963,6174.10007276033,4130.539141203228,-3181.1312625282685,4169.0625642475325,6981.586155138517,6514.91315741288,5593.864541304738,6506.819474069695,6302.595138549804,4777.092682687859,7609.128952026366,4660.393062390779,5671.2250960500605,5348.230663098786,-18006.62592837685,5895.965977718955,5778.011522795024,5731.268932944849,5620.278810199938,3326.754820974249,5799.657420108192,4932.064759103875,-15311.429375096368,-7318.697477641857,-1300.1968986109682,-3018.065502769068,2142.316416690224,-4681.160575465152,-4543.881667287726
-1599.6631823087992,-14374.130650570516,393.20243032355046,2769.7337301153884,6176.484258551345,4134.429128546463,-3175.4217649760994,4169.815465023642,6982.90373149671,6517.109118009867,5598.695654618112,6509.015434666683,6303.348039325913,4778.661225971422,7616.030542474044,4661.396930092259,5672.981864527652,5349.485497725636,-18001.23013948139,5898.914839092054,5780.081999929327,5732.962959691097,5623.7923471551185,3326.8803044369342,5800.912254735043,4933.758785850122,-15308.48051372327,-7313.0507218210305,-1293.609016820004,-3018.1909862317534,2141.5007741827712,-4677.584296778628,-4539.928938213147
-1598.1573807565787,-14372.122915167556,392.32404608475525,2771.051306473581,6178.993927805047,4138.82104974044,-3166.95163124486,4171.007557919152,6985.727109407122,6519.744270726253,5601.769999453895,6511.838812577096,6303.912714907997,4781.170895225122,7629.833723369396,4662.589022987767,5675.67975897538,5350.928557546515,-17995.708867123252,5902.553859509919,5781.5250597502045,5735.158920288085,5626.427499871505,3328.1351390637847,5803.735632645456,4935.264587402343,-15306.47277832031,-7308.470575433029,-1289.217095626028,-3017.6890523810134,2142.1281914961965,-4677.145104659231,-4535.411533556486
-1599.6004405774568,-14374.758067883942,394.5827484130858,2769.3572797273328,6177.174417596114,4137.628956844932,-3164.630187185187,4168.937080784847,6984.9742086310125,6517.799277054635,5597.88001211066,6510.395752756219,6300.6501448781855,4779.727835404245,7637.990148443923,4659.075486032586,5674.6758912739,5348.544371755499,-18003.049649690325,5901.236283151728,5778.325231451737,5734.092310855262,5626.992175453587,3327.5077217503595,5803.923857839483,4932.629434685958,-15308.919705842667,-7310.039118716591,-1292.165956999126,-3019.5713043212886,2144.135926899157,-4683.85846991288,-4534.53314931769
-1603.1767192639802,-14380.781274092824,388.3085752788343,2763.7732656378494,6172.029595626027,4131.85671756142,-3168.394691065738,4163.2275832326795,6979.766644929584,6512.7799385472335,5588.092302021227,6504.121579621968,6294.313230012592,4774.896722090872,7640.750784622994,4651.420994808799,5669.405585841128,5343.274066322728,-18019.487983302064,5894.522917898077,5772.364766974198,5730.076840049342,5624.545247931229,3323.8687013324934,5800.473062615645,4927.923804835269,-15315.068395514236,-7317.00345089561,-1300.2596403423108,-3025.029834948088,2145.7672119140625,-4694.712789435135,-4538.485878392269
-1603.7413948460628,-14384.796744898744,376.5758715177837,2759.193119249845,6168.516058670846,4127.966730218184,-3171.2808107074934,4158.77292030736,6974.621822959498,6509.580110248766,5579.810393484016,6498.474823801141,6290.0467922813,4771.257701673006,7642.695778294611,4645.586013793944,5664.0725386770155,5339.195853785464,-18032.78923034668,5887.4958439877155,5768.161070974249,5726.249594437448,5618.961233841745,3320.2924226459695,5797.398717779862,4926.104294626336,-15318.268223812704,-7322.712948447779,-1307.1612307899875,-3029.6099813360916,2145.265278063322,-4701.990830270867,-4544.383601138466
-1600.2905996222244,-14384.16932758532,373.12507629394526,2759.757794831928,6169.017992521585,4128.719630994296,-3171.2808107074934,4159.588562814813,6972.8650544819075,6509.9565606368205,5579.120234439247,6497.784664756373,6290.297759206671,4771.257701673006,7645.330931010998,4645.648755525287,5662.127545005396,5338.380211278011,-18035.989058645147,5885.048916465357,5767.408170198139,5724.241859034488,5613.063511095548,3319.602263601202,5797.085009123149,4927.798321372584,-15316.511455335114,-7321.3326303582435,-1307.9141315660977,-3028.104179783871,2143.5712513170743,-4699.355677554481,-4547.081495586193
-1597.7181886371811,-14381.157724480876,379.90118327893697,2763.7732656378494,6170.962986193204,4131.292041979337,-3169.8377508866156,4163.729517083419,6973.555213526675,6511.901554308439,5584.390539872018,6500.482559204101,6292.744686729029,4772.700761493882,7643.260453876695,4649.664226331209,5662.692220587479,5338.882145128751,-18029.463918585523,5886.868426674289,5768.4120378996195,5723.677183452405,5609.86368279708,3320.6688730340247,5797.524201242546,4929.680573312859,-15314.127269544098,-7315.372165880704,-1302.7693095960115,-3023.0220995451273,2143.0693174663343,-4689.1915170769935,-4544.5718263324925
-1598.1573807565787,-14379.21273080926,388.74776739823193,2766.3456766228924,6170.837502730519,4131.668492367393,-3168.5829162597647,4166.050961143092,6973.994405646073,6512.027037771124,5587.025692588404,6501.235459980211,6293.434845773797,4772.261569374486,7632.217909160413,4651.232769614771,5662.692220587479,5337.878277427271,-18024.507321809466,5887.746810913085,5767.659137123509,5722.4850905568965,5608.60884817023,3321.1708068847647,5796.959525660464,4929.304122924804,-15313.499852230672,-7312.674271432976,-1299.067547446803,-3021.2025893361943,2143.5712513170743,-4681.5370258532075,-4540.24264686986
-1601.231725592362,-14380.279340242081,391.44566184596,2764.9653585333567,6168.265091745477,4128.594147531609,-3171.9709697522608,4163.792258814761,6972.990537944592,6509.517368517423,5581.44167849892,6498.223856875769,6291.615335564864,4770.002867046155,7618.2265030710305,4648.22116651033,5661.374644229286,5335.36860817357,-18026.70328240645,5885.048916465357,5765.023984407122,5720.414613422594,5607.918689125462,3320.0414557206,5795.892916227641,4927.672837909899,-15315.758554559003,-7316.187808388157,-1301.0125411184208,-3023.5867751272094,2143.2575426603617,-4682.478151823345,-4539.176037437037
-1605.121712935598,-14381.910625256987,386.0498729505037,2762.3929475483137,6167.072998849969,4126.084478277909,-3176.42563267758,4160.968880904348,6972.363120631168,6508.388017353258,5573.410736887078,6495.902412816097,6290.8624347887535,4769.12448280736,7611.324912623353,4645.146821674547,5661.123677303916,5334.741190860145,-18029.840368973575,5882.162796823602,5764.208341899671,5720.100904765882,5608.797073364257,3318.849362825092,5796.018399690326,4927.3591292531855,-15318.456449006731,-7321.897305940326,-1303.9614024915193,-3025.84547745554,2143.508509585732,-4687.999424181486,-4541.49748149671
-1607.8196073833262,-14381.785141794304,378.96005730879926,2761.5773050408607,6168.9552507902445,4126.837379054019,-3175.5472484387847,4161.28258956106,6972.990537944592,6510.834944875616,5571.2147762900895,6496.592571860865,6292.430978072316,4770.567542628238,7612.767972444232,4644.770371286492,5662.378511930766,5336.999893188476,-18030.78149494372,5881.409896047491,5766.216077302631,5721.543964586759,5610.930292229903,3319.100329750462,5797.210492585834,4928.802189074064,-15318.393707275389,-7325.850035014904,-1304.7143032676295,-3025.970960918225,2145.7672119140625,-4692.014894987407,-4543.379733436986
-1608.1333160400388,-14380.091115048055,378.52086518940166,2762.769397936369,6171.904112163344,4129.409790039063,-3170.5279099313834,4163.541291889391,6975.123756810238,6514.473965293481,5576.234114797491,6498.8512741891955,6294.438713475277,4773.516404001336,7617.097151906865,4645.8997224506575,5664.448989065068,5340.701655337684,-18031.157945331768,5882.790214137027,5769.353163869757,5723.865408646432,5612.6870607074925,3320.0414557206,5798.716294138055,4930.809924477025,-15316.260488409744,-7326.101001940274,-1303.710435566149,-3024.9670932167446,2146.9593048095703,-4693.08150442023,-4542.75231612356
-1605.4354215923106,-14377.142253674956,383.91665408485807,2765.0281002647,6174.6020066110705,4132.672360068873,-3165.0066375732417,4165.611769023694,6977.884392989308,6517.67379359195,5585.457149304842,6500.670784398128,6296.634674072265,4776.967199225174,7622.053748682924,4647.531007465563,5667.146883512797,5345.093576531661,-18029.77762724224,5885.174399928042,5772.615733899567,5726.939753482216,5614.443829185084,3320.7943564967095,5800.284837421616,4932.6921764173,-15312.495984529192,-7322.085531134355,-1301.0125411184208,-3023.147583007812,2145.8926953767473,-4692.140378450092,-4539.928938213147
-1601.231725592362,-14374.632584421255,388.3085752788343,2766.0947096975224,6175.668616043893,4134.680095471834,-3162.8106769762535,4165.549027292352,6978.762777228104,6518.552177830746,5591.919547633121,6500.608042666786,6298.3287008185125,4778.59848424008,7626.1947029515295,4648.534875167044,5668.840910259046,5348.105179636102,-18027.267957988537,5886.61745974892,5774.686211033872,5729.449422735916,5615.886889005961,3320.731614765368,5800.033870496247,4933.633302387438,-15308.919705842667,-7316.313291850842,-1298.1264214766652,-3020.324205097399,2144.8260859439247,-4691.82666979338,-4536.478142989309
-1598.6593146073187,-14374.883551346627,387.86938315943667,2764.337941219932,6173.472655446904,4133.801711233038,-3163.8145446777335,4162.851132844623,6977.0060087505135,6516.4189589651005,5590.162779155529,6498.914015920537,6297.952250430458,4778.473000777395,7627.449537578381,4647.907457853617,5668.715426796361,5348.356146561471,-18027.267957988537,5886.241009360865,5774.748952765212,5730.578773900082,5615.133988229852,3319.2885549444895,5797.837909899259,4932.315726029245,-15308.919705842667,-7313.364430477743,-1297.74997108861,-3018.4419531571234,2144.512377287212,-4693.771663464998,-4536.038950869911
-1597.843672099866,-14375.69919385408,383.791170622173,2761.640046772204,6170.58653580515,4133.299777382297,-3159.548106946443,4160.404205322266,6975.68843239232,6515.477832994961,5584.892473722758,6498.035631681742,6297.3248331170325,4780.041544060958,7628.390663548518,4648.22116651033,5669.593811035155,5348.858080412211,-18026.452315481085,5886.429234554893,5775.313628347296,5732.210058914987,5615.008504767166,3317.0925943475017,5796.520333541065,4930.558957551654,-15310.550990857577,-7312.799754895663,-1298.0009380139802,-3017.877277575041,2144.135926899157,-4693.08150442023,-4539.050553974352
-1594.8320689954255,-14371.370014391447,382.03440214458254,2763.3340735184515,6172.907979864824,4138.82104974044,-3142.6705812153054,4163.353066695364,6979.076485884816,6521.4382974725,5586.147308349608,6502.615778069747,6301.591270848324,4786.81765104595,7634.853061876798,4654.809048301295,5675.554275512694,5354.81854488975,-18015.15880383943,5892.6406659578015,5780.89764243678,5738.045039929841,5620.718002319335,3317.531786466899,5798.904519332082,4932.94314334267,-15308.104063335217,-7309.725410059877,-1293.6717585513463,-3015.1166413959695,2143.006575734992,-4684.36040376362,-4539.928938213147
-1590.5656312641343,-14364.907616063167,384.1048792788857,2768.1651868318254,6178.178285297594,4145.848123650801,-3128.9301420512948,4170.066431949012,6984.848725168328,6529.8456894723995,5593.237123991313,6510.70946141293,6308.994795146741,4794.848592657792,7642.946745219982,4665.349659166837,5684.024409243934,5363.28867862099,-17997.277410406812,5903.306760286029,5789.11680924265,5745.574047690943,5627.305884110299,3321.7982241981904,5803.233698794716,4938.025223581414,-15303.272950021841,-7305.019780209187,-1287.7112940738075,-3010.5364950079666,2141.249807257401,-4673.129633853308,-4536.4154012579675
-1589.4990218313114,-14364.53116567511,388.87325086091687,2771.051306473581,6179.621345118472,4145.722640188116,-3139.6589781108646,4174.395611411646,6987.672103078741,6531.916166606702,5596.876144409179,6515.791541651675,6313.010265952662,4797.358261911492,7644.515288503546,4671.184640181692,5688.66729736328,5366.864957307514,-17991.00323727256,5909.07899956954,5794.010664287366,5748.899359452096,5627.682334498354,3326.692079242907,5806.809977481239,4941.225051879882,-15301.955373663648,-7303.953170776366,-1287.2093602230673,-3008.4660178736635,2140.057714361893,-4668.6122291966485,-4531.27057928788
-1591.381273771587,-14370.303404958622,395.084682263826,2771.615982055664,6177.2371593274565,4139.950400904605,-3165.696796618009,4175.211253919099,6987.044685765316,6528.277146188836,5594.680183812191,6516.105250308387,6312.445590370579,4794.409400538394,7640.248850772255,4670.180772480211,5688.416330437911,5364.919963635896,-18001.543848138106,5907.384972823293,5794.449856406764,5747.393557899876,5623.541380229749,3328.950781571237,5808.692229421515,4941.2877936112245,-15304.653268111379,-7307.466707731547,-1291.4757979543583,-3009.971819425884,2141.6889993767986,-4672.063024420488,-4529.1373604222335
-1593.5144926372325,-14376.012902510793,399.4766034578022,2772.3061411004314,6175.60587431255,4135.495737979286,-3183.3272231252568,4174.897545262385,6985.601625944438,6524.575384039627,5590.601971274928,6514.724932218852,6310.626080161646,4790.644896657843,7636.547088623046,4666.729977256373,5686.40859503495,5361.657393606085,-18015.535254227485,5903.620468942742,5792.6303461978305,5744.319213064093,5619.400425961143,3328.8252981085525,5808.692229421515,4939.593766864977,-15306.911970439707,-7311.733145462838,-1295.1148183722244,-3013.171647724352,2144.324152093184,-4677.709780241314,-4531.709771407278
-1594.3301351446853,-14377.769670988382,397.8453184428968,2774.7530686227897,6177.111675864771,4136.060413561368,-3183.6409317819694,4175.587704307153,6985.852592869808,6524.198933651572,5588.656977603308,6514.724932218852,6310.375113236276,4789.82925415039,7637.739181518554,4664.784983584755,5685.40472733347,5360.653525904605,-18022.68781160053,5902.051925659179,5791.250028108295,5742.876153243215,5618.208333065635,3329.389973690635,5808.31577903346,4938.527157432153,-15306.410036588968,-7313.8663643284835,-1296.2441695363896,-3015.1793831273126,2144.5751190185542,-4681.85073450992,-4535.411533556486
-1595.020294189453,-14377.644187525697,389.8771185623972,2776.8862874884358,6179.935053775184,4139.072016665808,-3174.355155543277,4176.403346814607,6986.856460571288,6525.89296039782,5588.970686260022,6515.164124338249,6310.9397888183585,4790.5194131951575,7640.688042891651,4664.094824539987,5684.965535214073,5361.218201486688,-18024.44458007812,5901.6127335397805,5790.057935212787,5742.436961123817,5618.459299991005,3330.2683579294303,5807.625619988692,4937.711514924701,-15307.16293736508,-7317.00345089561,-1297.5617458945826,-3016.3714760228204,2143.5712513170743,-4686.744589554635,-4538.360394929584
-1596.6515792043583,-14379.400956003288,386.42632333855875,2776.6353205630653,6181.001663208007,4140.264109561317,-3168.771141453793,4175.462220844469,6986.417268451891,6525.955702129163,5588.719719334652,6513.9092897114,6310.061404579564,4788.950869911594,7638.429340563322,4662.6517647191085,5683.020541542454,5360.151592053865,-18024.88377219752,5899.981448524876,5787.171815571032,5740.241000526828,5616.702531513414,3328.1978807951273,5804.739500346936,4934.574428357576,-15312.24501760382,-7324.093266537315,-1301.3262497751334,-3020.7633972167964,2143.2575426603617,-4694.399080778423,-4541.99941534745
-1597.7181886371811,-14381.094982749535,388.24583354749166,2774.1256513093645,6180.5624710886095,4140.075884367289,-3169.8377508866156,4172.764326396741,6985.350659019068,6524.575384039627,5586.335533543636,6511.462362189041,6308.304636101972,4786.441200657894,7632.6571012798095,4661.083221435546,5680.63635575144,5358.0811149195615,-18024.193613152755,5898.412905241313,5784.787629780016,5737.543106079101,5614.004637065686,3324.5588603772608,5801.163221660413,4930.872666208367,-15317.578064767937,-7329.175346776057,-1303.710435566149,-3026.7238616943355,2142.190933227539,-4699.9830948679055,-4545.0737601832325
-1596.588837473016,-14379.71466466,383.35197850277547,2771.239531667609,6180.123278969212,4140.201367829975,-3171.092585513466,4170.442882337068,6985.16243382504,6523.759741532174,5582.257321006373,6509.642851980108,6307.614477057205,4785.562816419099,7629.331789518656,4661.083221435546,5679.6952297813,5357.2654724121085,-18021.432976973683,5898.663872166683,5785.038596705385,5736.915688765675,5613.1889945582325,3322.8648336310134,5799.469194914164,4929.806056775545,-15318.20548208136,-7326.101001940274,-1300.6988324617084,-3028.104179783871,2141.5635159141134,-4697.473425614206,-4545.952144422029
-1594.9575524581105,-14377.581445794354,375.38377862227594,2769.9846970407584,6178.7429608796765,4138.883791471782,-3173.037579185084,4169.25078944156,6984.346791317587,6522.128456517269,5578.053625006424,6508.19979215923,6306.924318012438,4784.872657374332,7628.767113936573,4661.585155286287,5679.067812467875,5356.387088173314,-18017.731214824475,5899.228547748766,5785.038596705385,5736.852947034333,5613.063511095548,3322.990317093698,5798.841777600739,4930.370732357627,-15316.135004947058,-7319.701345343337,-1297.3107789692124,-3025.0925766794303,2143.194800929019,-4689.0032918829675,-4546.2031113473995
-1593.70271783126,-14375.134518271996,375.6974872789884,2771.741465518349,6177.2371593274565,4137.127022994192,-3175.986440558182,4169.564498098272,6983.593890541478,6520.18346284565,5576.924273842259,6507.446891383121,6306.045933773642,4784.245240060905,7630.398398951478,4661.836122211656,5678.503136885793,5355.2577370091485,-18013.841227481236,5899.416772942794,5784.1602124665915,5736.7274635716485,5613.063511095548,3323.492250944438,5798.904519332082,4931.249116596422,-15313.562593962013,-7315.121198955334,-1296.1814278050472,-3022.018231843647,2145.077052869294,-4678.9018731368205,-4545.0737601832325
-1590.7538564581619,-14370.177921495939,384.4813296669407,2776.8862874884358,6179.182152999074,4139.134758397152,-3172.6611287970286,4173.078035053452,6986.668235377261,6522.128456517269,5581.253453304893,6509.517368517423,6307.99092744526,4786.315717195209,7634.790320145455,4664.032082808645,5680.69909748278,5356.951763755396,-18008.94737243652,5901.236283151728,5785.791497481496,5738.860682437294,5615.635922080592,3325.499986347399,5801.414188585783,4933.884269312808,-15308.605997185956,-7311.0429864180705,-1293.4207916259763,-3019.0693704705486,2143.822218242444,-4669.992547286184,-4540.807322451942
-1587.742253353721,-14365.033099525852,394.1435562936882,2782.093851189864,6183.32310726768,4143.463937859786,-3164.0027698717618,4177.909148366827,6991.938540810032,6526.771344636615,5588.2805272152555,6513.532839323344,6311.818173057153,4789.390062030992,7638.115631906608,4667.357394569798,5684.526343094673,5360.277075516548,-18004.304484317174,5904.498853181537,5789.179550973992,5742.248735929788,5619.83961808054,3328.448847720497,5805.304175929019,4937.335064536646,-15302.582790977074,-7308.282350239,-1290.471930252878,-3016.3714760228204,2140.8106151380034,-4666.7927189877155,-4535.976209138568
-1588.2441872044612,-14364.468423943768,399.2256365324321,2783.2232023540287,6184.828908819901,4144.593289023951,-3160.740199841951,4179.352208187705,6993.88353448165,6528.465371382863,5592.233256289833,6515.540574726305,6313.135749415347,4789.641028956363,7636.735313817076,4667.859328420537,5685.40472733347,5360.779009367288,-18003.739808735092,5905.439979151675,5789.8069682874175,5742.938894974557,5621.34541963276,3329.3272319592925,5806.559010555869,4937.899740118729,-15300.073121723372,-7309.474443134509,-1291.7895066110707,-3016.559701216848,2140.8106151380034,-4671.372865375719,-4534.407665855006
-1590.8165981895042,-14368.546636481033,399.9157955771998,2780.650791368986,6183.197623804996,4141.769911113538,-3165.194862767269,4177.281731053402,6991.62483215332,6526.7086029052725,5592.107772827148,6514.348481830797,6311.4417226690975,4787.194101434005,7635.16677053351,4665.2869174354955,5683.271508467824,5358.834015695672,-18007.755279541012,5903.620468942742,5787.611007690429,5741.182126496968,5619.902359811882,3327.319496556332,5804.551275152909,4935.452812596371,-15302.331824051704,-7313.238947015059,-1295.0520766408815,-3018.881145276521,2142.9438340036486,-4678.964614868163,-4535.160566631116
